model,scenario,rmse,mape,fit_seconds
linear_regression,C_tuned,29822.052151480682,0.11916303621728287,6.002197980880737
linear_regression,A_raw,29856.260097016915,0.11939299717218199,0.11503720283508301
linear_regression,B_clean,33929.21941472287,0.12782036603347138,0.0737605094909668
baseline_mean,baseline,87619.03450611533,0.4135583143029261,
