iter	Passed	Remaining
157	2042	4421
158	2056	4409
159	2068	4395
160	2081	4382
161	2094	4370
162	2108	4360
163	2121	4346
164	2135	4335
165	2148	4322
166	2161	4309
167	2171	4292
168	2182	4273
169	2192	4255
170	2206	4244
171	2220	4234
172	2235	4226
173	2249	4214
174	2263	4204
175	2276	4191
176	2289	4177
177	2301	4163
178	2315	4152
179	2328	4139
180	2341	4126
181	2361	4126
182	2387	4134
183	2407	4135
184	2429	4136
185	2448	4133
186	2465	4126
187	2479	4114
188	2490	4098
189	2503	4083
190	2516	4071
191	2530	4060
192	2544	4046
193	2555	4030
194	2565	4013
195	2576	3996
196	2587	3979
197	2598	3963
198	2611	3950
199	2622	3934
200	2634	3918
201	2645	3903
202	2657	3888
203	2668	3872
204	2680	3857
205	2691	3841
206	2702	3824
207	2714	3810
208	2726	3795
209	2736	3779
210	2748	3764
211	2760	3749
212	2773	3736
213	2785	3723
214	2798	3710
215	2811	3696
216	2823	3682
217	2835	3667
218	2847	3654
219	2859	3639
220	2873	3627
221	2885	3613
222	2898	3600
223	2911	3587
224	2923	3573
225	2934	3558
226	2946	3543
227	2957	3528
228	2969	3514
229	2981	3499
230	2990	3482
231	2998	3464
232	3008	3447
233	3017	3430
234	3028	3415
235	3041	3402
236	3053	3388
237	3066	3375
238	3079	3362
239	3090	3348
240	3103	3335
241	3118	3324
242	3133	3313
243	3147	3302
244	3162	3292
245	3176	3280
246	3190	3267
247	3203	3254
248	3216	3242
249	3230	3230
250	3243	3217
251	3258	3206
252	3272	3194
253	3284	3181
254	3296	3167
255	3307	3152
256	3318	3137
257	3329	3123
258	3341	3109
259	3353	3095
260	3365	3081
261	3377	3067
262	3388	3053
263	3399	3038
264	3411	3025
265	3423	3011
266	3435	2998
267	3448	2984
268	3461	2972
269	3474	2959
270	3487	2946
271	3500	2934
272	3515	2922
273	3526	2909
274	3539	2895
275	3550	2881
276	3562	2868
277	3574	2854
278	3586	2841
279	3598	2827
280	3611	2814
281	3623	2801
282	3635	2787
283	3647	2774
284	3659	2760
285	3671	2747
286	3682	2732
287	3693	2719
288	3705	2705
289	3715	2690
290	3727	2676
291	3738	2662
292	3749	2649
293	3761	2635
294	3773	2622
295	3785	2608
296	3796	2594
297	3806	2580
298	3815	2564
299	3825	2550
300	3834	2535
301	3847	2522
302	3861	2510
303	3875	2498
304	3889	2486
305	3903	2474
306	3916	2462
307	3929	2449
308	3942	2436
309	3954	2423
310	3968	2411
311	3981	2398
312	3993	2386
313	4008	2374
314	4022	2362
315	4034	2349
316	4047	2336
317	4059	2323
318	4072	2310
319	4085	2297
320	4098	2285
321	4110	2272
322	4124	2259
323	4136	2247
324	4150	2234
325	4163	2222
326	4175	2209
327	4188	2196
328	4201	2183
329	4211	2169
330	4220	2154
331	4230	2140
332	4239	2126
333	4249	2112
334	4260	2098
335	4275	2086
336	4288	2074
337	4302	2062
338	4316	2049
339	4329	2037
340	4343	2025
341	4357	2013
342	4369	2000
343	4383	1987
344	4397	1975
345	4411	1963
346	4426	1951
347	4440	1939
348	4456	1928
349	4468	1915
350	4482	1902
351	4496	1890
352	4510	1878
353	4526	1866
354	4542	1855
355	4556	1842
356	4570	1830
357	4584	1818
358	4593	1804
359	4604	1790
360	4613	1776
361	4623	1762
362	4633	1748
363	4646	1736
364	4659	1723
365	4673	1710
366	4687	1698
367	4701	1686
368	4714	1673
369	4728	1661
370	4742	1648
371	4755	1636
372	4767	1623
373	4781	1610
374	4794	1598
375	4808	1585
376	4821	1573
377	4834	1560
378	4846	1547
379	4859	1534
380	4872	1521
381	4885	1509
382	4898	1496
383	4912	1483
384	4925	1471
385	4937	1458
386	4951	1445
387	4964	1433
388	4977	1420
389	4989	1407
390	5000	1393
391	5009	1380
392	5021	1367
393	5035	1354
394	5048	1342
395	5063	1329
396	5078	1317
397	5092	1305
398	5104	1292
399	5117	1279
400	5133	1267
401	5147	1254
402	5163	1242
403	5177	1230
404	5193	1218
405	5207	1205
406	5221	1193
407	5235	1180
408	5247	1167
409	5259	1154
410	5271	1141
411	5283	1128
412	5295	1115
413	5307	1102
414	5318	1089
415	5329	1076
416	5340	1062
417	5351	1049
418	5363	1036
419	5375	1023
420	5386	1010
421	5395	997
422	5405	983
423	5413	970
424	5422	956
425	5432	943
426	5444	930
427	5456	917
428	5470	905
429	5481	892
430	5495	879
431	5508	867
432	5522	854
433	5536	841
434	5549	829
435	5562	816
436	5576	803
437	5594	791
438	5611	779
439	5625	767
440	5640	754
441	5654	741
442	5668	729
443	5682	716
444	5695	703
445	5710	691
446	5723	678
447	5735	665
448	5746	652
449	5757	639
450	5769	626
451	5781	613
452	5792	601
453	5804	588
454	5815	575
455	5825	562
456	5836	549
457	5848	536
458	5860	523
459	5871	510
460	5882	497
461	5893	484
462	5904	471
463	5914	458
464	5925	446
465	5936	433
466	5948	420
467	5959	407
468	5970	394
469	5981	381
470	5992	368
471	6004	356
472	6015	343
473	6027	330
474	6039	317
475	6048	304
476	6058	292
477	6068	279
478	6078	266
479	6091	253
480	6104	241
481	6116	228
482	6129	215
483	6144	203
484	6159	190
485	6175	177
486	6189	165
487	6204	152
488	6216	139
489	6227	127
490	6241	114
491	6256	101
492	6271	89
493	6286	76
494	6300	63
495	6314	50
496	6327	38
497	6340	25
498	6353	12
499	6367	0
