iter	RMSE
0	0.3837410024
1	0.3779992157
2	0.3719400043
3	0.365944288
4	0.3604661604
5	0.3556137392
6	0.3506028391
7	0.3453466158
8	0.3405048888
9	0.3354662109
10	0.3311919416
11	0.3270210947
12	0.3226927444
13	0.3191829536
14	0.3153791858
15	0.3119664843
16	0.3070593748
17	0.3036949223
18	0.3002919345
19	0.2963313305
20	0.2926981807
21	0.2900985415
22	0.2860783865
23	0.2824570402
24	0.2790519257
25	0.2759554415
26	0.2728336926
27	0.2697165078
28	0.2666258746
29	0.2640110679
30	0.2613819358
31	0.2591292727
32	0.2566926751
33	0.2541803041
34	0.2514934111
35	0.2492033651
36	0.2472289537
37	0.2447890888
38	0.242042485
39	0.2397745445
40	0.2378467591
41	0.2358659406
42	0.2335450915
43	0.2316403833
44	0.229349645
45	0.2275640779
46	0.2252894604
47	0.2228888568
48	0.2208457789
49	0.2183048945
50	0.2163457409
51	0.2146101672
52	0.2128577455
53	0.21085586
54	0.2090364115
55	0.2076709903
56	0.2064489763
57	0.2049399218
58	0.2034097334
59	0.2023901646
60	0.201154594
61	0.1996377949
62	0.1986423682
63	0.1977848734
64	0.1960306328
65	0.1944985668
66	0.1928836181
67	0.1912811482
68	0.1901305697
69	0.1889577368
70	0.1878987564
71	0.1866966434
72	0.1853228257
73	0.1842657575
74	0.1834942017
75	0.1826104868
76	0.1818548793
77	0.180999776
78	0.179888756
79	0.1792557263
80	0.1782080358
81	0.1772357315
82	0.1765068199
83	0.1757007397
84	0.1745662657
85	0.1734967732
86	0.1726290694
87	0.1717882204
88	0.1711857222
89	0.1705053185
90	0.1696480106
91	0.1690543518
92	0.1683147828
93	0.1677577293
94	0.1668738835
95	0.1659939257
96	0.1652188934
97	0.1645192587
98	0.1639424038
99	0.1636111596
100	0.163123275
101	0.1625965233
102	0.1618307363
103	0.1613098185
104	0.1610343711
105	0.1605115916
106	0.1597773467
107	0.159209588
108	0.1585805938
109	0.1581946228
110	0.1578483884
111	0.1573621448
112	0.1568534718
113	0.1564430537
114	0.1559602052
115	0.1555713376
116	0.1551741032
117	0.154939937
118	0.1544577891
119	0.1538342875
120	0.1532884843
121	0.1528750547
122	0.1524432053
123	0.1521887927
124	0.1518460583
125	0.151425914
126	0.1513526963
127	0.150777041
128	0.1505464673
129	0.1502980754
130	0.150061064
131	0.1497818793
132	0.1495028834
133	0.149176805
134	0.1489045711
135	0.1485741861
136	0.1482734902
137	0.1479862456
138	0.1476402804
139	0.1473223953
140	0.1469737885
141	0.1465803864
142	0.1463814175
143	0.1459851018
144	0.1457176588
145	0.1455187753
146	0.1451470712
147	0.1447768565
148	0.1445683568
149	0.1443316663
150	0.144012444
151	0.1437757755
152	0.143485514
153	0.1432511921
154	0.1430062874
155	0.1427162218
156	0.1422250461
157	0.1419341214
158	0.1416478392
159	0.1413532697
160	0.1410974757
161	0.1410030266
162	0.1408164151
163	0.1405377599
164	0.1404056611
165	0.1401160522
166	0.1399434667
167	0.1396866275
168	0.1392511425
169	0.1390271284
170	0.138746278
171	0.1384510413
172	0.1382866899
173	0.1380802486
174	0.1378918401
175	0.1377042224
176	0.1374362885
177	0.1371979852
178	0.1369579977
179	0.1367489859
180	0.1364023156
181	0.1361626712
182	0.1361079996
183	0.1358998775
184	0.1356729599
185	0.1354981822
186	0.1353951492
187	0.1352926444
188	0.1350536961
189	0.13490087
190	0.1347305039
191	0.1344781877
192	0.1341683499
193	0.1340451049
194	0.1337909024
195	0.1336103422
196	0.13346762
197	0.1331635195
198	0.1330500504
199	0.1328680945
200	0.1326515605
201	0.1323810201
202	0.1321844012
203	0.1320349086
204	0.1319468457
205	0.1317569833
206	0.1316439659
207	0.1315110146
208	0.131353866
209	0.1311945621
210	0.1309832957
211	0.1307630122
212	0.1306599888
213	0.1305186211
214	0.1302440314
215	0.1299948107
216	0.1298622911
217	0.1297104481
218	0.1295346369
219	0.1294123804
220	0.1292849814
221	0.1291400287
222	0.1290978789
223	0.1288878357
224	0.1287664358
225	0.128524938
226	0.1283291407
227	0.1281478304
228	0.1280223737
229	0.127907184
230	0.1276543474
231	0.1275314277
232	0.1272191598
233	0.1270895852
234	0.1269027323
235	0.1268068501
236	0.1266091328
237	0.1264262337
238	0.1262699541
239	0.1261533948
240	0.1258986136
241	0.1257281261
242	0.125442204
243	0.1253075371
244	0.1251216202
245	0.1249936528
246	0.124799684
247	0.1247398106
248	0.1245086669
249	0.1242785556
250	0.1242082049
251	0.1240721799
252	0.1239251551
253	0.1238367949
254	0.1236584957
255	0.1235485232
256	0.1233929461
257	0.1231380227
258	0.122953961
259	0.1227847117
260	0.1226557219
261	0.1225452793
262	0.1225212382
263	0.1223888235
264	0.1222260091
265	0.1219535131
266	0.1217301341
267	0.1215451426
268	0.1213339089
269	0.1213075236
270	0.1211715287
271	0.120999748
272	0.1207273023
273	0.1205793641
274	0.1203905226
275	0.1201366684
276	0.1199415624
277	0.1198117981
278	0.119798545
279	0.1196220858
280	0.1194860147
281	0.1193079395
282	0.1191468147
283	0.1190103487
284	0.1188901811
285	0.1186897024
286	0.1184225783
287	0.1183760757
288	0.1180754892
289	0.1179383995
290	0.1177081232
291	0.1175143434
292	0.1174074323
293	0.1172503127
294	0.1172127464
295	0.1171862281
296	0.1170591535
297	0.1169997322
298	0.1168423077
299	0.1168068237
300	0.1165675137
301	0.1163554224
302	0.1161542791
303	0.1161017753
304	0.1158455536
305	0.1156751411
306	0.1154476639
307	0.1154238594
308	0.1153733731
309	0.1151643363
310	0.1151236427
311	0.1150464104
312	0.1148368171
313	0.1146636691
314	0.1144792508
315	0.114452163
316	0.1144195107
317	0.1143841283
318	0.1143537425
319	0.1141469202
320	0.1140967045
321	0.1140466546
322	0.1138182724
323	0.1137909192
324	0.1137634155
325	0.1137048804
326	0.113651122
327	0.1134244217
328	0.1131917006
329	0.113017505
330	0.1129873154
331	0.1129252403
332	0.1128529716
333	0.1128071585
334	0.1127820152
335	0.1127501763
336	0.1127112875
337	0.1124845882
338	0.1124266686
339	0.112222007
340	0.1121088133
341	0.1119332789
342	0.1117481505
343	0.1116947321
344	0.1115087889
345	0.1113207202
346	0.111266685
347	0.1112127329
348	0.1111872899
349	0.1110045953
350	0.1109578283
351	0.1107633323
352	0.1107158015
353	0.1106484246
354	0.1105792855
355	0.1105325718
356	0.1104723906
357	0.1103429046
358	0.1101447613
359	0.1100926773
360	0.1100514278
361	0.1099317978
362	0.1099032836
363	0.1098573686
364	0.1098142383
365	0.1096325222
366	0.1094429101
367	0.1093828441
368	0.1093064288
369	0.109071347
370	0.1089226271
371	0.1087144533
372	0.1085241313
373	0.1083573222
374	0.1083019376
375	0.1082656807
376	0.1081137488
377	0.1080601051
378	0.1079296409
379	0.1077441312
380	0.1075966494
381	0.1074514656
382	0.1074096294
383	0.1072847145
384	0.1072436868
385	0.1072068856
386	0.1070759199
387	0.107055751
388	0.1069221037
389	0.1068761103
390	0.1068143643
391	0.1067738319
392	0.1065626529
393	0.1064644319
394	0.1064133931
395	0.1063872748
396	0.1062489806
397	0.1061194097
398	0.1060066453
399	0.105994037
400	0.1059356383
401	0.1057726293
402	0.1056245195
403	0.105606843
404	0.1055807377
405	0.1054357191
406	0.1053913602
407	0.1053552133
408	0.1053127637
409	0.1051608517
410	0.1049588026
411	0.1048188826
412	0.1046925102
413	0.1045851677
414	0.1045593812
415	0.1045408231
416	0.1044041847
417	0.1043669666
418	0.1042157054
419	0.1041918814
420	0.1040664484
421	0.1040373636
422	0.104011869
423	0.1038923479
424	0.1037304511
425	0.1036973142
426	0.1036007191
427	0.1035780673
428	0.1035467046
429	0.1034066876
430	0.1033905043
431	0.1033461219
432	0.1033049109
433	0.1031799855
434	0.1031370887
435	0.1031060433
436	0.1029227898
437	0.1028628171
438	0.102730387
439	0.1026987263
440	0.1026613633
441	0.1026227118
442	0.102480883
443	0.1024620711
444	0.1024419545
445	0.1023234167
446	0.1023048088
447	0.1021917378
448	0.1021678484
449	0.1020062969
450	0.1019852659
451	0.1019473173
452	0.1019073879
453	0.1018861422
454	0.1017384226
455	0.1017015833
456	0.1015540469
457	0.1015400268
458	0.1015073263
459	0.1013649026
460	0.1013429772
461	0.1013164113
462	0.1012958398
463	0.1011697227
464	0.1010129032
465	0.1008731473
466	0.1007872569
467	0.1006651998
468	0.1006438728
469	0.1005118681
470	0.1003641385
471	0.100347606
472	0.1003089625
473	0.1001427305
474	0.1000278539
475	0.1000133377
476	0.09990196874
477	0.09978962975
478	0.09976365456
479	0.09972922203
480	0.09969806611
481	0.09967983839
482	0.09959640282
483	0.0994672106
484	0.09944158754
485	0.09937808326
486	0.09928182585
487	0.09924708787
488	0.0992166106
489	0.09911158859
490	0.09900001039
491	0.09887926276
492	0.09882229418
493	0.09874748731
494	0.09867516986
495	0.09864675974
496	0.09862247352
497	0.09860485497
498	0.09846570877
499	0.0984422733
